,Overall rank,Score,Country,GDP (Billions),Social Score,Basic Human Needs,Foundation of Wellbeing,Opportunity,Life Expectancy,language,population,lat,lng,independent,landlocked,cca3,GDP per Capita,Region
117,137,4.166,Egypt,396.328,59.98,79.41,51.55,48.98,72.38,{'ara': 'Arabic'},102334403,27.0,30.0,True,False,EGY,3.872871569886424e-06,Middle East and Northern Africa
118,138,4.107,Zambia,21.699,55.34,56.09,59.94,49.99,64.412,{'eng': 'English'},18383956,-15.0,30.0,True,True,ZMB,1.1803226683092585e-06,Sub-Saharan Africa
119,139,4.085,Togo,8.493,53.05,50.8,60.51,47.84,61.81,{'fra': 'French'},8278737,8.0,1.16666666,True,False,TGO,1.025881121721828e-06,Sub-Saharan Africa
120,140,4.015,India,2946.061,56.8,66.24,50.15,54.01,70.19,"{'eng': 'English', 'hin': 'Hindi', 'tam': 'Tamil'}",1380004385,20.0,77.0,True,False,IND,2.134820028126215e-06,Southern Asia
121,141,3.975,Liberia,3.384,51.37,47.75,52.42,53.94,64.72,{'eng': 'English'},5057677,6.5,-9.5,True,False,LBR,6.690818729626269e-07,Sub-Saharan Africa
122,143,3.933,Madagascar,14.101,48.46,43.54,54.67,47.17,67.866,"{'fra': 'French', 'mlg': 'Malagasy'}",27691019,-20.0,47.0,True,False,MDG,5.092264751976083e-07,Sub-Saharan Africa
123,144,3.802,Lesotho,2.478,53.8,44.33,60.05,57.02,55.222,"{'eng': 'English', 'sot': 'Sotho'}",2142252,-29.5,28.5,True,True,LSO,1.1567266596086735e-06,Sub-Saharan Africa
124,145,3.775,Burundi,3.193,41.2,40.33,50.08,33.21,62.372,"{'fra': 'French', 'run': 'Kirundi'}",11890781,-3.5,30.0,True,True,BDI,2.6852735745448514e-07,Sub-Saharan Africa
125,146,3.663,Zimbabwe,25.791,52.26,51.4,64.48,40.88,61.894,"{'bwg': 'Chibarwe', 'eng': 'English', 'kck': 'Kalanga', 'khi': 'Khoisan', 'ndc': 'Ndau', 'nde': 'Northern Ndebele', 'nya': 'Chewa', 'sna': 'Shona', 'sot': 'Sotho', 'toi': 'Tonga', 'tsn': 'Tswana', 'tso': 'Tsonga', 'ven': 'Venda', 'xho': 'Xhosa', 'zib': 'Zimbabwean Sign Language'}",14862927,-20.0,30.0,True,True,ZWE,1.7352571266749813e-06,Sub-Saharan Africa
126,147,3.597,Haiti,20.143,48.79,50.21,54.5,41.65,64.696,"{'fra': 'French', 'hat': 'Haitian Creole'}",11402533,19.0,-72.41666666,True,False,HTI,1.7665373123673486e-06,Latin America and Caribbean
127,148,3.488,Botswana,17.605,69.36,71.48,74.24,62.36,69.706,"{'eng': 'English', 'tsn': 'Tswana'}",2351625,-22.0,24.0,True,True,BWA,7.48631265614203e-06,Sub-Saharan Africa
128,150,3.41,Malawi,12.15,54.07,53.6,59.58,49.02,65.182,"{'eng': 'English', 'nya': 'Chewa'}",19129955,-13.5,34.0,True,True,MWI,6.351295651244345e-07,Sub-Saharan Africa
129,152,3.334,Rwanda,10.395,54.13,54.52,62.65,45.21,69.688,"{'eng': 'English', 'fra': 'French', 'kin': 'Kinyarwanda'}",12952209,-2.0,30.0,True,True,RWA,8.025658017099631e-07,Sub-Saharan Africa
130,153,3.231,Tanzania,69.238,56.2,56.26,62.91,49.42,66.08,"{'eng': 'English', 'swa': 'Swahili'}",59734213,-6.0,35.0,True,False,TZA,1.1591012339946623e-06,Sub-Saharan Africa
131,154,3.203,Afghanistan,19.81,42.29,52.9,39.5,34.47,65.632,"{'prs': 'Dari', 'pus': 'Pashto', 'tuk': 'Turkmen'}",40218234,33.0,65.0,True,True,AFG,4.925626520547868e-07,Southern Asia
132,155,3.083,Central African Republic,2.587,31.62,21.31,38.68,34.85,54.022,"{'fra': 'French', 'sag': 'Sango'}",4829764,7.0,21.0,True,True,CAF,5.356369379539042e-07,Sub-Saharan Africa
